MSTRG.3949.1	jg21123.t1
MSTRG.10717.1	jg16374.t1
MSTRG.10718.1	jg16375.t1
MSTRG.10719.1	jg16376.t1
MSTRG.10720.1	jg16377.t1
MSTRG.18296.1	jg21935.t2
MSTRG.1072.1	jg15474.t1
MSTRG.10722.1	jg16378.t2
MSTRG.19292.1	jg7951.t1
MSTRG.10724.1	jg16379.t1
MSTRG.10726.1	jg16380.t1
MSTRG.10731.1	jg16382.t1
MSTRG.10732.1	jg16384.t1
MSTRG.1628.1	jg10239.t1
MSTRG.10737.1	jg16386.t1
MSTRG.10738.1	jg16385.t1
MSTRG.5849.1	jg20889.t1
MSTRG.22158.1	jg7296.t1
MSTRG.1074.1	jg15475.t1
MSTRG.10742.1	jg16388.t1
MSTRG.10743.1	jg16389.t1
MSTRG.26660.1	jg15408.t1
MSTRG.17913.1	jg21710.t1
MSTRG.10749.1	jg16391.t1
MSTRG.10750.1	jg16392.t2
MSTRG.29129.1	jg3777.t1
MSTRG.10761.1	jg16396.t1
MSTRG.10762.1	jg16398.t1
MSTRG.10764.1	jg16399.t1
MSTRG.10765.1	jg16401.t1
MSTRG.10767.1	jg16402.t1
MSTRG.10768.1	jg16403.t1
MSTRG.10771.1	jg16404.t1
MSTRG.10781.1	jg16406.t1
MSTRG.10784.1	jg16407.t1
MSTRG.10786.1	jg16408.t1
MSTRG.10787.1	jg16409.t1
MSTRG.23707.1	jg9382.t1
MSTRG.10790.1	jg16411.t1
MSTRG.1079.1	jg15476.t1
MSTRG.10792.1	jg16412.t1
MSTRG.10793.1	jg16413.t1
MSTRG.10795.1	jg16414.t1
MSTRG.15151.1	jg18731.t1
MSTRG.10801.1	jg16415.t1
MSTRG.10802.1	jg16416.t1
MSTRG.10803.1	jg16418.t1
MSTRG.10804.1	jg16421.t1
MSTRG.10805.1	jg16422.t1
MSTRG.10808.1	jg16423.t2
MSTRG.8058.1	jg17914.t1
MSTRG.13636.1	jg2015.t1
MSTRG.10812.1	jg16424.t1
MSTRG.422.1	jg15136.t1
MSTRG.213.1	jg15009.t1
MSTRG.32828.1	jg2636.t1
MSTRG.10834.1	jg16435.t1
MSTRG.10836.1	jg16436.t1
MSTRG.10844.1	jg16437.t1
MSTRG.10845.1	jg16439.t1
MSTRG.10847.1	jg16440.t1
MSTRG.10848.1	jg16442.t1
MSTRG.18793.1	jg22215.t1
MSTRG.1101.1	jg15486.t2
MSTRG.10852.1	jg16443.t2
MSTRG.10853.1	jg16444.t1
MSTRG.10854.1	jg16445.t1
MSTRG.10856.1	jg16446.t1
MSTRG.10858.1	jg16448.t1
MSTRG.10859.1	jg16449.t1
MSTRG.10861.1	jg16450.t1
MSTRG.10864.1	jg16455.t1
MSTRG.10869.1	jg16457.t1
MSTRG.10870.1	jg16459.t1
MSTRG.10871.1	jg16461.t1
MSTRG.10872.1	jg16462.t1
MSTRG.10873.1	jg16463.t1
MSTRG.10874.1	jg16464.t1
MSTRG.10961.1	jg16521.t1
MSTRG.10877.1	jg16467.t1
MSTRG.10878.1	jg16468.t1
MSTRG.19122.1	jg7859.t1
MSTRG.10880.1	jg16470.t1
MSTRG.6983.1	jg12914.t1
MSTRG.1088.1	jg15477.t1
MSTRG.10886.1	jg16471.t1
MSTRG.10889.1	jg16473.t1
MSTRG.1090.1	jg15481.t1
MSTRG.10895.1	jg16474.t1
MSTRG.10896.1	jg16475.t2
MSTRG.10897.1	jg16476.t1
MSTRG.10898.1	jg16477.t1
MSTRG.10899.1	jg16479.t1
MSTRG.10901.1	jg16480.t1
MSTRG.10902.1	jg16481.t1
MSTRG.22279.1	jg7369.t1
MSTRG.24232.1	jg9665.t1
MSTRG.10907.1	jg16484.t1
MSTRG.10909.1	jg1883.t1
MSTRG.13405.1	jg1885.t1
MSTRG.109.1	jg14942.t1
MSTRG.10914.1	jg16490.t1
MSTRG.16428.1	jg1455.t1
MSTRG.10919.1	jg16494.t1
MSTRG.10921.1	jg16498.t1
MSTRG.1092.1	jg15482.t1
MSTRG.29958.1	jg11755.t1
MSTRG.12828.1	jg17811.t1
MSTRG.10936.1	jg16507.t1
MSTRG.10937.1	jg16508.t1
MSTRG.10938.1	jg16509.t1
MSTRG.10939.1	jg16510.t1
MSTRG.10941.1	jg16511.t1
MSTRG.10948.1	jg16512.t1
MSTRG.1095.1	jg15483.t1
MSTRG.10954.1	jg16515.t1
MSTRG.4667.1	jg16516.t1
MSTRG.4668.1	jg3177.t2
MSTRG.10959.1	jg16519.t1
MSTRG.10967.1	jg16523.t2
MSTRG.10970.1	jg16524.t1
MSTRG.15504.1	jg877.t1
MSTRG.10971.1	jg16525.t1
MSTRG.10974.1	jg16528.t1
MSTRG.16533.1	jg10961.t1
MSTRG.10978.1	jg16529.t1
MSTRG.10980.1	jg16531.t1
MSTRG.34878.1	m1-g9615.t1
MSTRG.10984.1	m1-g1846.t1
MSTRG.10987.1	jg16532.t2
MSTRG.5822.1	jg20877.t1
MSTRG.10992.1	jg16535.t1
MSTRG.10993.1	jg16536.t1
MSTRG.10994.1	jg16537.t1
MSTRG.10997.1	jg16539.t1
MSTRG.11000.1	jg16540.t1
MSTRG.11002.1	jg16541.t1
MSTRG.11005.1	jg16543.t1
MSTRG.11006.1	jg16548.t1
MSTRG.8449.1	jg18115.t1
MSTRG.11011.1	jg16549.t1
MSTRG.11013.1	jg16550.t1
MSTRG.110.1	jg14944.t1
MSTRG.11015.1	jg16551.t1
MSTRG.11016.1	jg16552.t1
MSTRG.981.1	jg15422.t1
MSTRG.11021.1	jg16555.t1
MSTRG.11025.1	jg16558.t1
MSTRG.26655.1	jg13527.t1
MSTRG.11028.1	jg16559.t1
MSTRG.11029.1	jg16561.t1
MSTRG.11030.1	jg16562.t1
MSTRG.11031.1	jg16563.t1
MSTRG.34838.1	jg202.t1
MSTRG.11038.1	jg16568.t1
MSTRG.11040.1	jg16569.t1
MSTRG.11041.1	jg16570.t1
MSTRG.2939.1	jg11971.t1
MSTRG.22924.1	jg8979.t1
MSTRG.11044.1	jg16571.t1
MSTRG.15053.1	jg18660.t1
MSTRG.11050.1	jg16573.t1
MSTRG.4936.1	jg3313.t1
MSTRG.1105.1	jg15487.t1
MSTRG.11054.1	jg16574.t1
MSTRG.11063.1	jg16576.t1
MSTRG.11068.1	jg16581.t1
MSTRG.11069.1	jg16582.t1
MSTRG.8378.1	jg18075.t1
MSTRG.11073.1	jg16583.t2
MSTRG.11074.1	jg16584.t1
MSTRG.27046.1	jg19371.t1
MSTRG.11081.1	jg16585.t1
MSTRG.11090.1	jg16590.t1
MSTRG.11086.1	jg16588.t1
MSTRG.15544.1	jg8641.t1
MSTRG.11088.1	jg16589.t2
MSTRG.2766.1	jg7266.t1
MSTRG.11091.1	jg16591.t2
MSTRG.11094.1	jg16593.t1
MSTRG.11095.1	jg16594.t1
MSTRG.11096.1	jg16595.t1
MSTRG.11102.1	jg16600.t1
MSTRG.11103.1	jg16601.t1
MSTRG.33698.1	jg21423.t1
MSTRG.11108.1	jg16603.t1
MSTRG.11112.1	jg16605.t1
MSTRG.11117.1	jg16606.t1
MSTRG.11122.1	jg16607.t1
MSTRG.15101.1	jg18690.t1
MSTRG.1.1	jg14870.t1
MSTRG.7266.1	jg13099.t1
MSTRG.11125.1	jg16609.t1
MSTRG.29736.1	jg4516.t1
MSTRG.21945.1	jg7175.t1
MSTRG.11129.1	jg16980.t1
MSTRG.11131.1	jg16612.t1
MSTRG.1113.1	jg4744.t1
MSTRG.11132.1	jg16614.t1
MSTRG.11133.1	jg16615.t1
MSTRG.11134.1	jg16616.t1
MSTRG.11145.1	jg16622.t1
MSTRG.11143.1	jg16620.t1
MSTRG.11144.1	jg16621.t2
MSTRG.11151.1	jg16623.t1
MSTRG.26369.1	jg13351.t1
MSTRG.11158.1	jg16624.t1
MSTRG.12440.1	jg5462.t1
MSTRG.1116.1	jg15490.t1
MSTRG.11162.1	jg16625.t1
MSTRG.11163.1	jg16627.t1
MSTRG.11164.1	jg16628.t1
MSTRG.11166.1	jg16629.t1
MSTRG.11546.1	jg4931.t1
MSTRG.11168.1	jg16631.t1
MSTRG.11169.1	jg16636.t1
MSTRG.11172.1	jg16637.t1
MSTRG.11173.1	jg16638.t1
MSTRG.11177.1	jg16639.t1
MSTRG.12455.1	jg5472.t1
MSTRG.11180.1	jg16642.t1
MSTRG.2119.1	jg10500.t1
MSTRG.14054.1	jg2289.t1
MSTRG.11192.1	jg16645.t1
MSTRG.11195.1	jg16647.t1
MSTRG.11199.1	jg16649.t1
MSTRG.11202.1	jg16654.t1
MSTRG.11204.1	jg16655.t1
MSTRG.11205.1	jg16656.t1
MSTRG.11206.1	jg16657.t1
MSTRG.11208.1	jg16659.t1
MSTRG.11209.1	jg16660.t1
MSTRG.34901.1	jg18087.t1
MSTRG.29864.1	jg6522.t1
MSTRG.11212.1	jg16662.t1
MSTRG.19316.1	jg7970.t1
MSTRG.11216.1	jg16664.t1
MSTRG.18087.1	jg21821.t1
MSTRG.4273.1	jg2938.t1
MSTRG.11221.1	jg16665.t1
MSTRG.11222.1	jg16666.t1
MSTRG.11226.1	jg16667.t1
MSTRG.11230.1	jg16668.t1
MSTRG.11237.1	jg16669.t1
MSTRG.11240.1	jg16671.t1
MSTRG.1124.1	jg15491.t1
MSTRG.11241.1	jg16673.t1
MSTRG.11242.1	jg16672.t1
MSTRG.11245.1	jg16675.t1
MSTRG.11246.1	jg16676.t1
MSTRG.11247.1	jg16677.t1
MSTRG.11249.1	jg20200.t1
MSTRG.11254.1	jg20714.t1
MSTRG.15657.1	jg965.t1
MSTRG.17268.1	jg11372.t1
MSTRG.20986.1	jg10685.t1
MSTRG.1126.1	jg15493.t1
MSTRG.11262.1	jg4709.t1
MSTRG.11264.1	jg4711.t1
MSTRG.11265.1	jg4712.t1
MSTRG.11267.1	jg4713.t1
MSTRG.11271.1	jg4716.t1
MSTRG.11272.1	jg2088.t1
MSTRG.22546.1	jg7509.t2
MSTRG.27760.1	jg17159.t1
MSTRG.3178.1	jg12114.t1
MSTRG.25179.1	jg14236.t1
MSTRG.1128.1	jg15494.t1
MSTRG.20954.1	jg6644.t1
MSTRG.24962.1	jg14097.t1
MSTRG.11289.1	jg4739.t1
MSTRG.11291.1	jg4742.t1
MSTRG.1129.1	jg15496.t1
MSTRG.11292.1	jg4743.t1
MSTRG.29385.1	jg585.t1
MSTRG.20254.1	jg8515.t1
MSTRG.3671.1	jg12368.t1
MSTRG.4272.1	jg2936.t1
MSTRG.11306.1	jg4765.t1
MSTRG.28014.1	jg17327.t1
MSTRG.11312.1	jg4766.t1
MSTRG.21929.1	jg7163.t1
MSTRG.11557.1	jg4937.t1
MSTRG.11318.1	jg4771.t1
MSTRG.11320.1	jg4772.t1
MSTRG.11324.1	jg4775.t1
MSTRG.1132.1	jg15497.t1
MSTRG.33750.1	jg18312.t1
MSTRG.1133.1	jg15498.t1
MSTRG.13709.1	jg2062.t1
MSTRG.2675.1	jg10800.t1
MSTRG.1135.1	jg15503.t1
MSTRG.6965.1	jg12904.t1
MSTRG.11361.1	jg4804.t1
MSTRG.18664.1	jg22140.t1
MSTRG.20106.1	jg20095.t1
MSTRG.11888.1	jg5116.t1
MSTRG.11369.1	jg4817.t1
MSTRG.11370.1	jg4819.t1
MSTRG.11371.1	jg4820.t1
MSTRG.998.1	jg15425.t1
MSTRG.11374.1	jg4821.t1
MSTRG.11377.1	jg4822.t1
MSTRG.11378.1	jg4823.t1
MSTRG.11379.1	jg4825.t1
MSTRG.11380.1	jg4827.t1
MSTRG.11382.1	jg4829.t1
MSTRG.11383.1	jg4831.t1
MSTRG.11385.1	jg4832.t1
MSTRG.11386.1	jg4833.t1
MSTRG.11391.1	jg4835.t1
MSTRG.14370.1	jg2518.t1
MSTRG.11395.1	jg4837.t1
MSTRG.7212.1	jg13058.t1
MSTRG.11397.1	jg4839.t1
MSTRG.11402.1	jg4841.t1
MSTRG.11404.1	jg4842.t1
MSTRG.11405.1	jg4843.t1
MSTRG.11408.1	jg4844.t1
MSTRG.11410.1	jg4845.t1
MSTRG.1141.1	jg15504.t1
MSTRG.11413.1	jg4847.t1
MSTRG.30775.1	jg21491.t1
MSTRG.11415.1	jg4848.t1
MSTRG.11416.1	jg4849.t1
MSTRG.13595.1	jg1994.t1
MSTRG.11419.1	jg4850.t1
MSTRG.11420.1	jg4857.t1
MSTRG.1142.1	jg15505.t1
MSTRG.11423.1	jg4859.t1
MSTRG.36160.1	jg6562.t1
MSTRG.1143.1	jg15506.t1
MSTRG.11432.1	jg4861.t1
MSTRG.11437.1	jg4865.t1
MSTRG.11438.1	jg4866.t1
MSTRG.11439.1	jg4867.t1
MSTRG.1144.1	jg15507.t1
MSTRG.11442.1	jg4869.t1
MSTRG.11449.1	jg4873.t1
MSTRG.11451.1	jg4875.t1
MSTRG.11453.1	jg4876.t1
MSTRG.11454.1	jg4877.t1
MSTRG.33267.1	jg4502.t1
MSTRG.11457.1	jg4879.t1
MSTRG.11461.1	jg4880.t1
MSTRG.11465.1	jg4883.t1
MSTRG.11467.1	jg4884.t1
MSTRG.17143.1	jg11295.t1
MSTRG.11473.1	jg4885.t2
MSTRG.11475.1	jg4886.t1
MSTRG.2230.1	jg10555.t1
MSTRG.11480.1	jg4892.t1
MSTRG.11483.1	jg4894.t1
MSTRG.11485.1	jg4896.t1
MSTRG.32263.1	jg20831.t1
MSTRG.11493.1	jg4900.t1
MSTRG.11498.1	jg4903.t1
MSTRG.11499.1	jg4904.t1
MSTRG.11500.1	jg4905.t1
MSTRG.1152.1	jg15510.t1
MSTRG.11508.1	jg4907.t1
MSTRG.11509.1	jg4908.t1
MSTRG.11512.1	jg4909.t2
